Year,State,City,Location,Monitoring_Days,SO2_min,SO2_max,SO2_avg,NO2,PM10,PM2.5
2021,Andhra Pradesh,Andhra Pradesh,Amaravati,14,12,55,28,,,
2021,Andhra Pradesh,Andhra Pradesh,Anatapur,7,16,64,30,,,
2021,Andhra Pradesh,Andhra Pradesh,Chittor,5,14,46,25,,,
2021,Andhra Pradesh,Andhra Pradesh,Eluru,5,17,63,30,,,
2021,Andhra Pradesh,Andhra Pradesh,Guntur,5,17,60,29,,,
2021,Andhra Pradesh,Andhra Pradesh,Kadapa,5,14,53,26,,,
2021,Andhra Pradesh,Andhra Pradesh,Kakinada,8,14,61,28,,,
2021,Andhra Pradesh,Andhra Pradesh,Kurnool,6,15,58,26,,,
2021,Andhra Pradesh,Andhra Pradesh,Nellore,5,17,55,23,,,
2021,Andhra Pradesh,Andhra Pradesh,Ongole,5,17,53,18,,,
2021,Andhra Pradesh,Andhra Pradesh,Rajahmundry,8,15,72,33,,,
2021,Andhra Pradesh,Andhra Pradesh,Srikakulam,9,20,77,27,,,
2021,Andhra Pradesh,Andhra Pradesh,Tirupati,6,22,51,27,,,
2021,Andhra Pradesh,Andhra Pradesh,Vijayawada,5,17,65,34,,,
2021,Andhra Pradesh,Andhra Pradesh,Visakhapatnam,12,35,103,41,,,
2021,Andhra Pradesh,Andhra Pradesh,Vizianagaram,9,19,72,27,,,
2021,Andhra Pradesh,Arunachal Pradesh,Naharlagun,27,6,54,15,,,
2021,Andhra Pradesh,Assam,Guwahati,26,11,114,60,,,
2021,Andhra Pradesh,Assam,Nalbari,6,14,92,42,,,
2021,Andhra Pradesh,Assam,Silcher,8,9,46,37,,,
2021,Andhra Pradesh,Bihar,Gaya,11,14,79,52,,,
2021,Andhra Pradesh,Bihar,Hajipur,5,11,148,60,,,
2021,Andhra Pradesh,Bihar,Muzaffarpur,6,13,142,80,,,
2021,Andhra Pradesh,Bihar,Patna,8,39,150,73,,,
2021,Andhra Pradesh,Chattisgarh,Bilaspur,8,13,71,28,,,
2021,Andhra Pradesh,Chattisgarh,Durg -Bhillainagar,7,11,61,31,,,
2021,Andhra Pradesh,Chattisgarh,Raipur,13,22,62,35,,,
2021,Andhra Pradesh,Goa,Amona,7,13,59,27,,,
2021,Andhra Pradesh,Goa,Assanora,7,13,58,26,,,
2021,Andhra Pradesh,Goa,Bicholim,8,13,61,28,,,
2021,Andhra Pradesh,Goa,Codli,7,13,62,28,,,
2021,Andhra Pradesh,Goa,Cuncolim,6,13,67,32,,,
2021,Andhra Pradesh,Goa,Honda,7,13,61,28,,,
2021,Andhra Pradesh,Goa,Kundaim,7,13,62,28,,,
2021,Andhra Pradesh,Goa,Mapusa,2,16,57,24,,,
2021,Andhra Pradesh,Goa,Margao,7,13,59,27,,,
2021,Andhra Pradesh,Goa,Panaji,2,15,73,26,,,
2021,Andhra Pradesh,Goa,Ponda,8,13,63,28,,,
2021,Andhra Pradesh,Goa,Sanguem,7,13,60,28,,,
2021,Andhra Pradesh,Goa,Tilamol,7,13,62,29,,,
2021,Andhra Pradesh,Goa,Tuem,7,13,59,27,,,
2021,Andhra Pradesh,Goa Usgao,-Pale,8,13,64,29,,,
2021,Andhra Pradesh,Goa,Vasco,2,15,58,32,,,
2021,Andhra Pradesh,Gujarat,Ahmedabad,17,34,123,46,,,
2021,Andhra Pradesh,Gujarat,Ankleshwar,40,26,120,63,,,
2021,Andhra Pradesh,Gujarat,Gandhinagar,9,15,78,40,,,
2021,Andhra Pradesh,Gujarat,Jamnagar,14,18,116,28,,,
2021,Andhra Pradesh,Gujarat,Nandesari,6,8,72,51,,,
2021,Andhra Pradesh,Gujarat,Navarangpur,12,16,97,23,,,
2021,Andhra Pradesh,Gujarat,Rajkot,14,18,118,30,,,
2021,Andhra Pradesh,Gujarat,Surat,20,24,100,35,,,
2021,Andhra Pradesh,Gujara,Saraspur,13,17,120,27,,,
2021,Andhra Pradesh,Gujarat,Vadodara,15,19,111,30,,,
2021,Andhra Pradesh,Gujarat,Vapi,16,24,114,51,,,
2021,Andhra Pradesh,Gujarat,Vatva,28,68,160,67,,,
2021,Andhra Pradesh,Haryana,Ambala,9,21,122,62,,,
2021,Andhra Pradesh,Haryana,Ballabgarh,9,35,165,82,,,
2021,Andhra Pradesh,Haryana,Bhiwani,13,23,135,50,,,
2021,Andhra Pradesh,Haryana,Charkhi Dadri,5,28,156,79,,,
2021,Andhra Pradesh,Haryana,Dharuhera,18,26,187,77,,,
2021,Andhra Pradesh,Haryana,Faridabad,10,35,230,98,,,
2021,Andhra Pradesh,Haryana,Fatehabad,10,22,153,61,,,
2021,Andhra Pradesh,Haryana,Gurgaon,6,20,174,93,,,
2021,Andhra Pradesh,Haryana,Hissar,12,30,162,92,,,
2021,Andhra Pradesh,Haryana,Jind,10,24,145,88,,,
2021,Andhra Pradesh,Haryana,Kaithal,21,17,144,58,,,
2021,Andhra Pradesh,Haryana,Karnal,26,20,119,60,,,
2021,Andhra Pradesh,Haryana,Kurukshetra,10,29,142,69,,,
2021,Andhra Pradesh,Haryana,Mandikhera,15,21,92,52,,,
2021,Andhra Pradesh,Haryana,Manesar,8,9,164,96,,,
2021,Andhra Pradesh,Haryana,Narnaul,7,25,175,69,,,
2021,Andhra Pradesh,Haryana,Palwal,10,11,127,37,,,
